player,team,total_minutes,most_frequent_position
Axel Tuanzebe,Ipswich Town,770,RB
Axel Witsel,Atlético Madrid,671,CB
Ayanda Sishuba,Hellas Verona,0,
Ayden Heaven,Arsenal,0,
Ayman Aiki,Saint-Étienne,127,RW
Ayman Azhil,Dortmund,24,CM
Aymen Barkok,Mainz 05,73,CM
Ayoze Pérez,Villarreal,734,FW
Ayyoub Bouaddi,Lille,585,DM
Azor Matusiwa,Rennes,1282,CM
Aïssa Mandi,Lille,1021,RB
Badredine Bouanani,Nice,640,AM
Bafodé Diakité,Lille,1530,CB
Bahereba Guirassy,Nantes,112,LW
Balthazar Pierret,Lecce,682,DM
Bamba Dieng,Angers,391,FW
Bamo Meïté,Marseille,26,CB
Baptiste Santamaria,Rennes,482,CM
Bart Verbruggen,Brighton & Hove Albion,1620,GK
Bastien Meupiyou,Wolverhampton Wanderers,0,
Becir Omeragic,Montpellier,930,CB
Ben Alexander Voll,St. Pauli,0,
Ben Brereton,Southampton,431,FW
Ben Davies,Tottenham Hotspur,271,CB
Ben Godfrey,Atalanta,23,WB
Ben Johnson,Ipswich Town,676,RB
Ben Lhassine Kone,Como,26,CM
Ben Mee,Brentford,176,CB
Ben Old,Saint-Étienne,376,CM
Ben Viadere,Auxerre,5,DM
Ben White,Arsenal,695,RB
Ben Winterburn,Bournemouth,9,AM
Bence Dárdai,Wolfsburg,544,CM
Benedict Hollerbach,Union Berlin,1171,AM
Benedikt Gimber,Heidenheim,1287,CB
Benedikt Pichler,Holstein Kiel,727,FW
Benito Ramírez,Las Palmas,302,LB
Benjamin André,Lille,1342,DM
Benjamin Arthur,Brentford,0,
Benjamin Bouchouari,Saint-Étienne,824,CM
Benjamin Bourigeaud,Rennes,80,RM
Benjamin Broggio,Aston Villa,0,
Benjamin Henrichs,RB Leipzig,935,WB
Benjamin Lecomte,Montpellier,1260,GK
Benjamin Nelson,Leicester City,0,
Benjamin Pavard,Internazionale,778,CB
Benjamin Šeško,RB Leipzig,1104,FW
Benjamín Domínguez,Bologna,365,LW
Bennit Bröger,Wolfsburg,0,
Benoît Badiashile,Chelsea,249,CB
Berat Djimsiti,Atalanta,1144,CB
Beres Owusu,Saint-Étienne,90,RB
Bernard Nguene,Nice,0,
Bernardo,Bochum,432,CB
Bernardo Silva,Manchester City,1646,CM
Bernd Leno,Fulham,1800,GK
Bertuğ Yıldırım,Getafe,862,FW
Beto,Everton,231,FW
Beñat Prados,Athletic Club,798,DM
Beñat Turrientes,Real Sociedad,561,CM
Bilal Brahimi,Nice,76,AM
Bilal El Khannouss,Leicester City,801,AM
Bilal Nadir,Marseille,68,AM
Billy Gilmour,Brighton & Hove Albion,98,DM
Billy Gilmour,Napoli,406,CM
Birama Touré,Montpellier,298,DM
Bjarki Bjarkason,Venezia,27,WB
Bob Murphy Omoregbe,Milan,3,RM
Bobby Reid,Leicester City,282,LW
Bohdan Popov,Empoli,0,
Bojan Miovski,Girona,637,FW
Borja Iglesias,Celta Vigo,1009,FW
Borja Mayoral,Getafe,158,FW
Borna Sosa,Torino,698,WB
Botond Balogh,Parma,1575,CB
Boubacar Kamara,Aston Villa,676,DM
Boubacar Traoré,Wolverhampton Wanderers,0,
Boubakar Kouyaté,Montpellier,124,CB
Boubakary Soumaré,Leicester City,835,DM
Boulaye Dia,Lazio,776,AM
Bradel Kiwa,Monaco,0,
Bradley Barcola,Paris Saint-Germain,1129,LW
Brahim Díaz,Real Madrid,609,RM
Brais Méndez,Real Sociedad,1009,CM
Brajan Gruda,Brighton & Hove Albion,322,RW
Brandon Austin,Tottenham Hotspur,90,GK
Breel Embolo,Monaco,907,FW
Brendan Chardonnet,Brest,1350,CB
Brennan Johnson,Tottenham Hotspur,1249,RW
Brenner,Udinese,305,FW
Brian Oliván,Espanyol,909,LB
Brice Maubleu,Saint-Étienne,0,
Brice Samba,Lens,1350,GK
Brice Samba,Rennes,90,GK
Brooke Norton-Cuffy,Genoa,106,RB
Bruno,Venezia,0,
Bruno Fernandes,Manchester United,1565,AM
Bruno Guimarães,Newcastle United,1744,CM
Bryan Cristante,Roma,770,DM
Bryan Gil,Girona,1130,LW
Bryan Mbeumo,Brentford,1794,RW
Bryan Zaragoza,Osasuna,1051,LW
Buba Sangaré,Roma,0,
Budu Zivzivadze,Heidenheim,90,FW
